"ID","block_plot","block","plot","species","Soil_depth","tot_dry_weight_aff","FRB_g_cm3","SRL_m_g","RLD_m_m3","mycelium","length_aff_cm","surfarea_cm2","avgdiam_mm","rootvol_aff_class_cm3","RTD_g_cm3","tips","forks","crossings","ntips_length_n_cm","nforks_length_n_cm","RDMC_dry_g_fresh_g","h2o","RLD_cm_cm3","SRA_cm2_g","ntips_length_n_cm_log1","RLD_cm_cm3_log1","SRL_m_g_log1","SRA_cm2_g_log1","length_aff_cm_sqrt","RDMC_dry_g_fresh_g_log1","rootvol_aff_class_cm3_log1"
"3_7_BEPA_10_15_500_180831_AF","37","3",7,"Betula papyrifera","10-15",0.0744,0.001,92.1,92668.8,"no",684.963086448935,8.2458,0.3057,1.264,0.059,230,170,18,0.34,0.25,0.38,"Low",9.26688,110.83064516129,0.29266961396282,2.32892318031631,4.53367418428302,4.71698563014883,26.1717994499602,0.322083499169113,0.817133160340937
"3_7_BEPA_15_20_500_180831_AF","37","3",7,"Betula papyrifera","15-20",0.0555,7e-04,68.4,46015.4,"no",379.943367781893,7.59,0.3229,0.922,0.06,307,233,12,0.81,0.61,0.57,"Low",4.60154,136.756756756757,0.593326845277734,1.72304155993553,4.23988686751276,4.92548949769582,19.4921360497482,0.451075619360217,0.653366310548101
"3_7_BEPA_20_30_500_180831_AF","37","3",7,"Betula papyrifera","20-30",0.0125,1e-04,69.3,5858.4,"no",86.6490319881274,3.0375,0.3284,0.29,0.043,138,85,4,1.59,0.98,0.46,"Low",0.58584,243,0.951657875711446,0.461114235399818,4.25277179881662,5.4971682252932,9.30854618015764,0.378436435720245,0.254642218373581
"3_12_PIGL_0_5_500_180831_AF","312","3",12,"Picea glauca","0-5",1.1382,0.0155,23.2,360353.8,"yes",2643.70218268125,57.2934,0.267,3.82,0.298,3456,2255,241,1.31,0.85,0.32,"Low",36.03538,50.3368476541908,0.837247524533702,3.61187367197694,3.18635263316264,3.93840877219811,51.4169445093857,0.27763173659828,1.57277392806251
"3_12_PIGL_5_10_500_180831_AF","312","3",12,"Picea glauca","5-10",0.3895,0.0052,47.2,246101.1,"no",1836.84549325097,38.2357,0.4068,3.398,0.115,899,603,48,0.49,0.33,0.3,"Low",24.61011,98.1661103979461,0.398776119957368,3.2429871953994,3.87535902105655,4.59679632686937,42.8584354970054,0.262364264467491,1.48114989213257
"3_12_PIGL_10_15_500_180831_AF","312","3",12,"Picea glauca","10-15",0.2071,0.0028,44,122391.2,"no",911.482238962029,15.4605,0.5256,1.812,0.114,291,163,7,0.32,0.18,0.2,"Low",12.23912,74.6523418638339,0.27763173659828,2.58317608304315,3.80666248977032,4.32614839631614,30.1907641334569,0.182321556793955,1.03389597394842
"3_12_PIGL_15_20_500_180831_AF","312","3",12,"Picea glauca","15-20",0.0149,2e-04,76.2,15953.8,"no",113.262499953931,2.9028,0.3932,0.398,0.037,93,38,5,0.82,0.34,0.24,"Low",1.59538,194.818791946309,0.598836501088704,0.953732941350022,4.34639945703073,5.27718970070206,10.6424856097592,0.215111379616945,0.335042643811619
"3_12_PIGL_20_30_500_180831_AF","312","3",12,"Picea glauca","20-30",0.0441,3e-04,47.8,13031,"no",210.711411592802,1.6073,0.3567,0.251,0.175,72,31,2,0.34,0.15,0.36,"Low",1.3031,36.4467120181406,0.29266961396282,0.834256041519825,3.8877303128591,3.62291890953053,14.5159020247728,0.307484699747961,0.223943231484774
"3_13_PIST_0_5_500_180831_AF","313","3",13,"Pinus strobus","0-5",0.2275,0.0033,23.8,77692.6,"no",542.484760399744,21.4484,0.5603,3.69,0.062,181,85,1,0.33,0.16,0.37,"Low",7.76926,94.2786813186813,0.285178942233662,2.17125242426074,3.21084365317094,4.55680608488705,23.2913022478294,0.314810739840034,1.54543258245819
"3_13_PIST_5_10_500_180831_AF","313","3",13,"Pinus strobus","5-10",0.406,0.005,17.3,86197.3,"no",703.553879217167,58.0843,0.5193,8.642,0.047,1584,893,29,2.25,1.27,0.3,"Low",8.61973,143.064778325123,1.17865499634165,2.26381619775568,2.90690105984738,4.97026304790408,26.5245900857519,0.262364264467491,2.26612855598343
"3_13_PIST_10_15_500_180831_AF","313","3",13,"Pinus strobus","10-15",0.2361,0.0034,18,60674.6,"no",425.425643199123,14.9326,0.6014,3.011,0.078,214,162,3,0.5,0.38,0.36,"Low",6.06746,63.2469292672596,0.405465108108164,1.95550115085965,2.94443897916644,4.1627339291275,20.6258489085691,0.307484699747961,1.38904058678792
"3_13_PIST_15_20_500_180831_AF","313","3",13,"Pinus strobus","15-20",0.0686,9e-04,19.7,17815.5,"no",135.562621596489,9.8864,0.5595,1.517,0.045,198,144,3,1.46,1.06,0.28,"Low",1.78155,144.116618075802,0.900161349944271,1.02300832628392,3.03013370027132,4.97753768176646,11.6431362440061,0.246860077931526,0.923067716153179
"3_13_PIST_20_30_500_180831_AF","313","3",13,"Pinus strobus","20-30",0.0187,2e-04,69.5,10557.7,"no",129.971962393025,2.5229,0.5504,0.415,0.045,66,14,2,0.51,0.11,0.32,"Low",1.05577,134.914438502674,0.412109650826833,0.72065047363098,4.25561270981822,4.91202555909477,11.4005246542878,0.27763173659828,0.347129531095201
"3_15_QURU_0_5_500_180906_AF","315","3",15,"Quercus rubra","0-5",0.7392,0.0087,53.9,468840.5,"no",3986.10879804044,150.3998,0.2535,7.995,0.092,7312,7820,1061,1.83,1.96,0.53,"Low",46.88405,203.462932900433,1.04027671165515,3.8687824635787,4.00551334851548,5.32038670184319,63.1356380979906,0.425267735404344,2.1966688674025
"3_15_QURU_5_10_500_180906_AF","315","3",15,"Quercus rubra","5-10",0.1664,0.0021,72,154045,"no",1197.8174454641,67.1014,0.2576,4.851,0.034,3746,3173,295,3.13,2.65,0.41,"Low",15.4045,403.253605769231,1.41827740697294,2.79755568743594,4.29045944114839,6.00204241806921,34.6094993529826,0.343589704390077,1.7666125868061
"3_15_QURU_10_15_500_180906_AF","315","3",15,"Quercus rubra","10-15",0.1215,0.0014,76,109575.4,"no",923.211912043619,30.7851,0.2567,2.694,0.045,1332,842,53,1.44,0.91,0.34,"Low",10.95754,253.375308641975,0.89199803930511,2.48136204174757,4.34380542185368,5.53881076953067,30.3844024467097,0.29266961396282,1.30670988177705
"3_15_QURU_15_20_500_180906_AF","315","3",15,"Quercus rubra","15-20",0.0885,0.001,77,78584.7,"no",681.29812197943,18.3668,0.2696,1.067,0.083,999,765,41,1.47,1.12,0.41,"Low",7.85847,207.534463276836,0.904218150639886,2.18137406347476,4.35670882668959,5.34010431907534,26.1016881059335,0.343589704390077,0.726098280699631
"3_15_QURU_20_30_500_180906_AF","315","3",15,"Quercus rubra","20-30",0.1515,9e-04,133.4,122380.3,"no",2021.7488134456,25.5446,0.2414,1.563,0.097,1712,1089,92,0.85,0.54,0.35,"Low",12.23803,168.611221122112,0.615185639090233,2.58309374789752,4.90082042808905,5.13350888344578,44.963861193692,0.300104592450338,0.941178447381934
"3_21_ACSA_0_5_500_180906_AF","321","3",21,"Acer saccharum","0-5",0.0761,9e-04,393.7,373605.3,"no",2997.94689994811,190.4199,0.3109,13.688,0.006,3713,3601,770,1.24,1.2,0.03,"Low",37.36053,2502.23258869908,0.806475865866949,3.64702906639529,5.9781259826688,7.82533821108548,54.7535103892719,0.0295588022415444,2.68703083387813
"3_21_ACSA_5_10_500_180906_AF","321","3",21,"Acer saccharum","5-10",0.1995,0.0024,57,136956.8,"no",1136.48375664401,67.8999,0.3344,4.663,0.043,1343,689,57,1.18,0.61,0.23,"Low",13.69568,340.35037593985,0.779324876800997,2.6875535730432,4.06044301054642,5.83290944519618,33.7117747477645,0.207014169384326,1.73395378713167
"3_21_ACSA_10_15_500_180906_AF","321","3",21,"Acer saccharum","10-15",0.1787,0.0021,54.3,114858.5,"no",970.931,68.4048,0.3417,5.805,0.031,1320,834,43,1.36,0.86,0.2,"Low",11.48585,382.791270285394,0.858661619037519,2.52459600311232,4.01277290852829,5.95009883783653,31.1597657244081,0.182321556793955,1.91765763610343
"3_21_ACSA_15_20_500_180906_AF","321","3",21,"Acer saccharum","15-20",0.1841,0.0021,54.7,114741,"no",1006.30736578473,47.3397,0.362,4.509,0.041,920,885,95,0.91,0.88,0.27,"Low",11.4741,257.141227593699,0.647103242058539,2.52365449474648,4.01998014693324,5.55350682893032,31.7223480496752,0.2390169004705,1.70638311849058
"3_21_ACSA_20_30_500_180906_AF","321","3",21,"Acer saccharum","20-30",0.1257,8e-04,57.2,47490.3,"no",718.548574527702,44.1851,0.3623,3.984,0.032,994,758,109,1.38,1.05,0.21,"Low",4.74903,351.512330946698,0.867100487683383,1.74903114492637,4.06388535473739,5.86508560304956,26.8057563692521,0.19062035960865,1.60623278148515
"8_2_PIGL_0_5_500_180906_AF","82","8",2,"Picea glauca","0-5",1.0543,0.0111,40.5,451356,"yes",4274.54989957917,42.9647,0.2711,0.057,18.617,1647,706,17,0.39,0.17,0.32,"High",45.1356,40.7518732808498,0.3293037471426,3.83158488625645,3.72569342723665,3.73174431929267,65.3800420585607,0.27763173659828,0.0554347068881005
"8_2_PIGL_5_10_500_180906_AF","82","8",2,"Picea glauca","5-10",0.2892,0.0031,64.1,196627.1,"no",1853.77024531189,46.5933,0.3962,3.926,0.074,954,712,49,0.51,0.38,0.24,"High",19.66271,161.110995850622,0.412109650826833,3.02833062643488,4.17592454921452,5.08828126018947,43.0554322392876,0.215111379616945,1.59452729969835
"8_2_PIGL_10_15_500_180906_AF","82","8",2,"Picea glauca","10-15",0.1044,0.0011,41.7,46798.5,"no",434.894318315607,20.9612,0.4762,2.22,0.047,392,279,12,0.9,0.64,0.27,"High",4.67985,200.777777777778,0.641853886172395,1.73692482393365,3.75419892023458,5.30716698182502,20.8541199362526,0.2390169004705,1.16938135955632
"8_2_PIGL_15_20_500_180906_AF","82","8",2,"Picea glauca","15-20",0.1572,0.0017,43,71728.6,"no",675.698403006042,24.5359,0.4587,2.792,0.056,387,207,7,0.57,0.31,0.24,"High",7.17286,156.080788804071,0.451075619360217,2.1008189088143,3.78418963391826,5.05676025136814,25.994199410754,0.215111379616945,1.33289358439278
"8_2_PIGL_20_30_500_180906_AF","82","8",2,"Picea glauca","20-30",0.0382,2e-04,40.5,8149.4,"no",154.809908676664,11.7477,0.474,0.584,0.065,200,133,1,1.29,0.86,0.18,"High",0.81494,307.531413612565,0.828551817566148,0.596052409319152,3.72569342723665,5.73182366510654,12.4422630046412,0.165514438477573,0.459953293392234
"8_3_QURU_0_5_500_180906_AF","83","8",3,"Quercus rubra","0-5",0.8229,0.0087,71.5,620108,"no",5880.1003021244,263.6598,0.2575,11.374,0.072,11945,17102,2732,2.03,2.91,0.31,"High",62.0108,320.403208166241,1.10856261952128,4.14330614027076,4.28358656186063,5.77269643510251,76.681812068602,0.27002713721306,2.5155974971088
"8_3_QURU_5_10_500_180906_AF","83","8",3,"Quercus rubra","5-10",0.2545,0.0027,94.9,254845.5,"no",2416.03828188523,96.7964,0.2596,2.689,0.095,4715,4152,531,1.95,1.72,0.29,"High",25.48455,380.339489194499,1.08180517035173,3.27656154410266,4.56330598188939,5.9436900261339,49.1532123251902,0.254642218373581,1.30535541861454
"8_3_QURU_10_15_500_180906_AF","83","8",3,"Quercus rubra","10-15",0.1793,0.0019,109.6,210153.1,"no",1963.99384024497,41.3,0.2647,2.228,0.08,1821,1173,91,0.93,0.6,0.27,"High",21.01531,230.340211935304,0.657520002916794,3.09173812041678,4.70592008908823,5.44388940598728,44.3169701158029,0.2390169004705,1.1718627504077
"8_3_QURU_15_20_500_180906_AF","83","8",3,"Quercus rubra","15-20",0.17,0.0018,116,208909.7,"no",1971.13494614079,37.5771,0.2729,3.295,0.052,1389,1217,169,0.7,0.62,0.25,"High",20.89097,221.041764705882,0.53062825106217,3.08607422302445,4.76217393479776,5.40286549348396,44.3974655373569,0.22314355131421,1.45745155543622
"8_3_QURU_20_30_500_180906_AF","83","8",3,"Quercus rubra","20-30",0.1603,8e-04,63.8,52735.2,"no",1022.65596337931,34.0215,0.3537,4.35,0.037,1026,642,36,1,0.63,0.25,"High",5.27352,212.23643169058,0.693147180559945,1.83633760062561,4.17130560335823,5.36240155804312,31.9789925322752,0.22314355131421,1.67709656090792
"8_12_LALA_0_5_500_180907_AF","812","8",12,"Larix laricina","0-5",0.8411,0.0089,64.2,571952.2,"no",5398.2585265504,49.2058,0.3832,2.621,0.321,1024,492,33,0.19,0.09,0.32,"High",57.19522,58.501723932945,0.173953307123438,4.0638032207803,4.17745946893261,4.0860052857948,73.4728421020339,0.27763173659828,1.2867502307835
