ID,ID_rock,block_plot,block_day,block,plot,sp,depth,resolution,day_of_year,sampling_date,date,_,serial_nb,fraction,fresh_weight_g,fresh_weight_aff,part_fresh_w,dry_weight,dry_weight_f_100,calc_tot_dry_weight,tot_dry_weight_aff,f_perc_prop_weight_aff,vol_calc_sk_ml,vol_perc_sk,vol_fine_cm3,Date_dry_weighing,soilvol_m3,soilvol_cm3,FRB_g_cm3,SRL_m_g,RLD_m_m3,mycelium,length_cm,length_aff_cm,projarea_cm2,surfarea_cm2,avgdiam_mm,lenpervol_cm_m3,rootvol_cm3,rootvol_class_cm3,rootvol_aff_class_cm3,rtd_g_cm3,tips,forks,crossings,ntips_length_n_cm,nforks_length_n_cm,rdmc_dry_g_fresh_g,loi_perc,tc_perc,tn_perc,ca_mg_kg,k_mg_kg,mg_mg_kg,mn_mg_kg,ep_mg_kg,silt_clay_perc,clay_perc,silt_perc,sand_perc,h2o,moist_bepa_5cm,moist_bepa_5cm_vol100perc,moist_bepa_25cm,moist_bepa_25cm_vol100perc,moist_pist_5cm,moist_pist_5cm_vol100perc,moist_pist_25cm,moist_pist_25cm_vol100perc
2_2_QURU_20_30_500_180815_C,2_2_QURU_20_30,22,2227,2,2,QURU,20_30,500,227,8/15/2018,180815,_,180021,C,0.0000,0.0000,NA,0.0000,,NA,0.0000,,13.26,0.00,0.00,12/17/2018,0,0,0.0000,0.0,0.0,no,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0,0,0.00,0.00,0.00,1.73,1.54,0.100,184.6,32.3,3.93,2.11,68.7,19.57,6.8,12.77,80.43,L,0.056,5.6,0.080,8.0,0.050,5.0,0.054,5.4
2_2_QURU_20_30_500_180815_TF,2_2_QURU_20_30,22,2227,2,2,QURU,20_30,500,227,8/15/2018,180815,_,180022,TF,0.4765,0.4765,NA,0.1931,,NA,0.1931,,13.26,6.77,182.74,12/17/2018,0.000196,196,0.0011,4.1,4359.0,no,79.654,79.654,5.5999,17.5926,0.703,406398.1328,0.309,0.438,0.438,0.441,427,244,5,5.36,3.06,0.41,1.73,1.54,0.100,184.6,32.3,3.93,2.11,68.7,19.57,6.8,12.77,80.43,L,0.056,5.6,0.080,8.0,0.050,5.0,0.054,5.4
2_2_QURU_20_30_500_180815_AF,2_2_QURU_20_30,22,2227,2,2,QURU,20_30,500,227,8/15/2018,180815,_,180023,AF,0.1880,0.2427,NA,0.0718,,NA,0.0960,,13.26,6.77,182.74,12/17/2018,0.000196,196,0.0005,91.0,47789.9,no,446.3001,873.294058891909,9.7198,30.5356,0.2178,2277041.275,0.166,0.172,0.308,0.312,3539,2903,370,4.05,3.32,0.40,1.73,1.54,0.100,184.6,32.3,3.93,2.11,68.7,19.57,6.8,12.77,80.43,L,0.056,5.6,0.080,8.0,0.050,5.0,0.054,5.4
2_2_QURU_20_30_500_180815_F,2_2_QURU_20_30,22,2227,2,2,QURU,20_30,500,227,8/15/2018,180815,_,180024,F,0.0069,0.0690,NA,0.0030,0.0300,NA,0.0300,31.26,13.26,6.77,182.74,12/17/2018,0.000196,196,0.0002,146.7,24077.8,no,43.9989,439.989,1.0547,3.3136,0.2397,224483.9443,0.02,0.018,0.184,0.163,342,217,15,0.78,0.49,0.43,1.73,1.54,0.100,184.6,32.3,3.93,2.11,68.7,19.57,6.8,12.77,80.43,L,0.056,5.6,0.080,8.0,0.050,5.0,0.054,5.4
2_2_QURU_20_30_500_180815_D,2_2_QURU_20_30,22,2227,2,2,QURU,20_30,500,227,8/15/2018,180815,_,180025,D,0.0490,0.0633,NA,0.0173,,NA,0.0231,,13.26,6.77,182.74,12/17/2018,0.000196,196,0.0001,11.5,1454.4,no,13.5826,26.5776411080913,0.858,2.6954,0.6317,69299.0821,0.043,0.061,0.109,0.211,164,100,0,6.17,3.76,0.37,1.73,1.54,0.100,184.6,32.3,3.93,2.11,68.7,19.57,6.8,12.77,80.43,L,0.056,5.6,0.080,8.0,0.050,5.0,0.054,5.4
2_4_LALA_0_5_500_180814_C,2_4_LALA_0_5,24,2226,2,4,LALA,0_5,500,226,8/14/2018,180814,_,180026,C,0.5004,0.5004,NA,0.1474,,NA,0.1474,,17.18,17.53,80.82,12/17/2018,0.000098,98,0.0018,0.6,1069.8,no,8.6466,8.6466,2.1461,6.7423,2.4821,88230.5018,0.418,0.247,0.247,0.598,22,14,0,2.54,1.62,0.29,3.76,1.85,0.125,158.5,17.8,3.13,3.10,63.8,22.07,9.3,12.77,77.93,L,0.057,5.7,0.081,8.1,0.051,5.1,0.055,5.5
2_4_LALA_0_5_500_180814_TF,2_4_LALA_0_5,24,2226,2,4,LALA,0_5,500,226,8/14/2018,180814,_,180027,TF,1.4481,1.4481,NA,0.4253,,NA,0.4253,,17.18,17.53,80.82,12/17/2018,0.000098,98,0.0053,4.6,24364.7,no,196.9176,196.9176,17.3849,54.6163,0.8829,2009363.207,1.205,1.373,1.373,0.310,495,303,15,2.51,1.54,0.29,3.76,1.85,0.125,158.5,17.8,3.13,3.10,63.8,22.07,9.3,12.77,77.93,L,0.057,5.7,0.081,8.1,0.051,5.1,0.055,5.5
2_4_LALA_0_5_500_180814_AF,2_4_LALA_0_5,24,2226,2,4,LALA,0_5,500,226,8/14/2018,180814,_,180028,AF,0.6488,2.3876,0.1910,0.0816,,0.2772,0.9338,,17.18,17.53,80.82,12/17/2018,0.000098,98,0.0116,32.0,369929.6,no,463.2283,2989.80510929744,19.0129,59.7307,0.4104,4726819.167,0.613,0.629,3.418,0.273,1924,1394,72,0.64,0.47,0.39,3.76,1.85,0.125,158.5,17.8,3.13,3.10,63.8,22.07,9.3,12.77,77.93,L,0.057,5.7,0.081,8.1,0.051,5.1,0.055,5.5
2_4_LALA_0_5_500_180814_F,2_4_LALA_0_5,24,2226,2,4,LALA,0_5,500,226,8/14/2018,180814,_,180029,F,0.2044,2.0440,NA,0.0745,0.7450,NA,0.7450,79.78,17.18,17.53,80.82,12/17/2018,0.000098,98,0.0092,36.7,338698.7,no,273.7394,2737.394,10.4713,32.8965,0.3825,2793259.611,0.315,0.322,3.220,0.231,1472,820,61,0.54,0.30,0.36,3.76,1.85,0.125,158.5,17.8,3.13,3.10,63.8,22.07,9.3,12.77,77.93,L,0.057,5.7,0.081,8.1,0.051,5.1,0.055,5.5
2_4_LALA_0_5_500_180814_D,2_4_LALA_0_5,24,2226,2,4,LALA,0_5,500,226,8/14/2018,180814,_,180030,D,0.1139,0.4191,NA,0.0373,,0.2772,0.1257,,17.18,17.53,80.82,12/17/2018,0.000098,98,0.0016,19.9,30866.9,no,38.6517,249.468890702558,2.6123,8.2067,0.6758,394405.15,0.139,0.097,0.528,0.238,148,84,5,0.59,0.34,0.30,3.76,1.85,0.125,158.5,17.8,3.13,3.10,63.8,22.07,9.3,12.77,77.93,L,0.057,5.7,0.081,8.1,0.051,5.1,0.055,5.5
